,layer_id,name,D,M,N,Q,alpha,alpha_weighted,entropy,has_esd,lambda_max,layer_type,log_alpha_norm,log_norm,log_spectral_norm,longname,matrix_rank,norm,num_evals,num_pl_spikes,rank_loss,rf,sigma,spectral_norm,stable_rank,status,sv_max,sv_min,warning,weak_rank_loss,xmax,xmin
0,2,Embedding,0.015344688484305424,4096,32001,7.812744140625,3.2347023278276734,9.351186849586979,1.175808629531158,True,777.849609375,embedding,9.375475167184957,4.576758609934894,2.8908956379510036,model.embed_tokens,4096,37736.23866224289,4096,1020,0,1,0.06997124405151091,777.849609375,48.5135406734521,success,27.889955520629883,0.8130453824996948,,0,777.849609375,10.560449600219727
1,6,Linear,0.019968063369038447,4096,4096,1.0,1.5516890490385735,4.155651513357954,0.7750095133345203,True,476.5923767089844,dense,4.578780237025069,3.4842282178141835,2.678147091347197,model.layers.0.self_attn.q_proj,4096,3049.497051719327,4096,449,1070,1,0.02603581595253396,476.5923767089844,6.398543494919146,success,21.830995559692383,2.042235792032443e-06,over-trained,159,476.5923767089844,0.15108387172222137
2,7,Linear,0.03144163920563714,4096,4096,1.0,1.4586049700767454,3.703155023537836,0.8028288675453882,True,345.80670166015625,dense,4.448129639974423,3.583034295519088,2.538833405553933,model.layers.0.self_attn.k_proj,4096,3828.5497554920653,4096,613,988,1,0.018522880281694964,345.80670166015625,11.0713578918855,success,18.59587860107422,4.573001660901355e-06,over-trained,171,345.80670166015625,0.06981523334980011
3,8,Linear,0.0719196452337203,4096,4096,1.0,3.247330788142856,3.9325399138086445,1.0873487198459892,True,16.25574493408203,dense,4.881890422351613,3.312113377895597,1.2110068762220736,model.layers.0.self_attn.v_proj,4096,2051.697729746779,4096,121,18,1,0.20430279892207784,16.25574493408203,126.21370094489853,success,4.031841278076172,8.314984734170139e-05,,9,16.25574493408203,3.5670039653778076
4,9,Linear,0.05330052565730076,4096,4096,1.0,2.2254974494741493,2.858047213580227,1.0794751177692794,True,19.241037368774414,dense,3.363203002444209,2.9374156525045176,1.2842284830546713,model.layers.0.self_attn.o_proj,4096,865.7961544508274,4096,504,28,1,0.05458799505116162,19.241037368774414,44.99737399065067,success,4.386460781097412,1.3835978279530536e-05,,13,19.241037368774414,0.40921494364738464
5,12,Linear,0.013302497600742313,4096,11008,2.6875,2.6925332882417314,5.766455071228148,1.1414758002460696,True,138.5628204345703,dense,6.4147419416289955,4.084087000307496,2.141646714790939,model.layers.0.mlp.gate_proj,4096,12136.31947676465,4096,746,0,1,0.06196804646414362,138.5628204345703,87.58712790849583,success,11.771270751953125,0.1826743632555008,,0,138.5628204345703,4.232111930847168
6,13,Linear,0.026923701544490086,4096,11008,2.6875,2.9722176421327244,6.09116592959186,1.1515628571764824,True,112.03852844238281,dense,6.692194619056491,4.069340482224706,2.0493673959963186,model.layers.0.mlp.up_proj,4096,11731.147144991904,4096,580,0,1,0.08189188023346185,112.03852844238281,104.70636581972595,success,10.58482551574707,0.15680792927742004,,0,112.03852844238281,5.136739253997803
7,14,Linear,0.017740899608289618,4096,11008,2.6875,4.226097548927885,8.02307419428892,1.1771895404498323,True,79.15152740478516,dense,8.1069362054488,4.105536037440799,1.8984592999573064,model.layers.0.mlp.down_proj,4096,12750.75900426507,4096,444,0,1,0.15310381418212204,79.15152740478516,161.09302526857132,success,8.896714210510254,0.3947839140892029,,0,79.15152740478516,6.5134501457214355
8,20,Linear,0.03291303968532766,4096,4096,1.0,2.9061471367566085,7.354370565497013,0.9905457894706902,True,339.3326721191406,dense,7.767140486769781,4.070103724154522,2.5306256770277717,model.layers.1.self_attn.q_proj,4096,11751.781935719262,4096,86,237,1,0.20554513189025886,339.3326721191406,34.632037823912164,success,18.420984268188477,1.4687614566355478e-05,,46,339.3326721191406,34.54782485961914
9,21,Linear,0.03289032788183477,4096,4096,1.0,3.1108694448996053,8.114428758707396,0.9868435373897523,True,405.8932800292969,dense,8.369203098909551,4.0684694355088435,2.6084118611956946,model.layers.1.self_attn.k_proj,4096,11707.642041483332,4096,72,288,1,0.2487683497813324,405.8932800292969,28.844138638211227,success,20.146793365478516,6.42773056824808e-06,,48,405.8932800292969,38.972572326660156
10,22,Linear,0.022175651053419898,4096,4096,1.0,4.214258061072514,4.328085789951063,1.1259626961718419,True,10.641678810119629,dense,4.803342436315653,3.2290247692381957,1.0270101467990265,model.layers.1.self_attn.v_proj,4096,1694.434436842921,4096,143,12,1,0.26878976216727735,10.641678810119629,159.22623366828273,success,3.2621586322784424,3.7803871236974373e-05,,8,10.641678810119629,2.1217563152313232
11,23,Linear,0.01834545095901663,4096,4096,1.0,3.7912789572671604,4.456139905567366,1.1214345633625205,True,14.974967002868652,dense,4.577218605696987,3.0578018891452765,1.1753658741005575,model.layers.1.self_attn.o_proj,4096,1142.3571101849668,4096,86,19,1,0.3009913507465198,14.974967002868652,76.28444923892876,success,3.8697502613067627,3.7628853988280753e-06,,11,14.974967002868652,1.5083398818969727
12,26,Linear,0.01245222733566742,4096,11008,2.6875,2.617588382998462,6.026364386836534,1.1405215691085497,True,200.56642150878906,dense,6.442306470142192,4.175295159190449,2.3022582259221753,model.layers.1.mlp.gate_proj,4096,14972.528870953247,4096,683,0,1,0.06189529931523844,200.56642150878906,74.65122405994133,success,14.162147521972656,0.13200289011001587,,0,200.56642150878906,5.512960910797119
13,27,Linear,0.061525134629974665,4096,11008,2.6875,4.015687851923149,6.9707825511339125,1.1722117975903756,True,54.4361686706543,dense,7.298480613717436,4.123059502439961,1.7358875510693748,model.layers.1.mlp.up_proj,4096,13275.763357486576,4096,395,0,1,0.1517357231224266,54.4361686706543,243.87762184011558,success,7.378087043762207,0.12634238600730896,,0,54.4361686706543,7.658052921295166
14,28,Linear,0.02127298906829589,4096,11008,2.6875,4.8427147393058885,7.974254524605702,1.1886270627777076,True,44.32509231567383,dense,8.187513322669037,4.135652105139425,1.646649648777095,model.layers.1.mlp.down_proj,4096,13666.336348488927,4096,510,0,1,0.1701582687006811,44.32509231567383,308.3205388758178,success,6.657709121704102,0.4558596611022949,,0,44.32509231567383,6.080454349517822
15,34,Linear,0.021670862498686883,4096,4096,1.0,3.0607440968324253,7.40766848119565,1.0727644352304306,True,263.1589660644531,dense,7.616232055402654,4.0753931253128055,2.420218171411936,model.layers.2.self_attn.q_proj,4096,11895.785520571026,4096,112,104,1,0.1947220141415359,263.1589660644531,45.20380095146559,success,16.22217559814453,7.577034011774231e-06,,17,263.1589660644531,20.429636001586914
16,35,Linear,0.026740446490642666,4096,4096,1.0,3.328193649638445,8.542983113128148,1.0708480946870156,True,368.8525390625,dense,8.598906365539532,4.1193291063912145,2.5668527773485197,model.layers.2.self_attn.k_proj,4096,13162.218813446094,4096,105,148,1,0.22720843525204704,368.8525390625,35.684229928035904,success,19.205533981323242,1.6109022908494808e-05,,23,368.8525390625,24.488054275512695
17,36,Linear,0.023398565509339386,4096,4096,1.0,4.116041654870855,4.514915303610185,1.1459123701932261,True,12.499916076660156,dense,5.4212835216178785,3.5380877498087693,1.0969070972027966,model.layers.2.self_attn.v_proj,4096,3452.134831578188,4096,190,6,1,0.22606142149623035,12.499916076660156,276.1726407126856,success,3.535521984100342,0.00016192397742997855,,4,12.499916076660156,3.2183775901794434
18,37,Linear,0.013362509220338326,4096,4096,1.0,4.418251133389708,6.889028068031242,1.1530147076766453,True,36.24270248413086,dense,6.8968630117775875,3.5115366838347755,1.559220573943686,model.layers.2.self_attn.o_proj,4096,3247.4067109106386,4096,271,11,1,0.20764396873608537,36.24270248413086,89.60167118698006,success,6.020191192626953,4.654023939565377e-07,,4,36.24270248413086,2.402961015701294
19,40,Linear,0.015208303037404808,4096,11008,2.6875,2.8618666685331355,5.873438317960429,1.1615200915104853,True,112.80030059814453,dense,6.520568857334534,4.199389749181121,2.0523102569872305,model.layers.2.mlp.gate_proj,4096,15826.677366778255,4096,901,0,1,0.06202777197798959,112.80030059814453,140.30704956329336,success,10.620748519897461,0.14127008616924286,,0,112.80030059814453,4.98131799697876
20,41,Linear,0.06639782595066823,4096,11008,2.6875,3.833328462118606,5.040434485887675,1.1815251703703298,True,20.64893341064453,dense,6.682447028585865,4.138545432702751,1.3148976237486119,model.layers.2.mlp.up_proj,4096,13757.687255790457,4096,643,0,1,0.11173556718409938,20.64893341064453,666.2662415627901,success,4.54410982131958,0.12663306295871735,,0,20.64893341064453,5.981722354888916
21,42,Linear,0.018187125591107578,4096,11008,2.6875,5.345806208215529,8.060156557958951,1.1910400711914646,True,32.19239044189453,dense,8.37842143935743,4.144020205308427,1.5077532263649889,model.layers.2.mlp.down_proj,4096,13932.216202959418,4096,455,0,1,0.20373453746688444,32.19239044189453,432.77979707988106,success,5.673833847045898,0.36077243089675903,,0,32.19239044189453,6.3413872718811035
22,48,Linear,0.025580571129385943,4096,4096,1.0,4.121227317839271,9.295365292431914,1.1074205724435928,True,180.08798217773438,dense,9.340977766313221,4.027528603642289,2.2554847319864426,model.layers.3.self_attn.q_proj,4096,10654.390336436962,4096,35,38,1,0.5275837095293471,180.08798217773438,59.16213956976771,success,13.419686317443848,7.993842154974118e-05,,7,180.08798217773438,27.974544525146484
23,49,Linear,0.03848449842428492,4096,4096,1.0,3.160724229620779,7.493239953125949,1.1117694892819625,True,234.8200225830078,dense,7.556489185538792,4.061887628213309,2.3707351254826117,model.layers.3.self_attn.k_proj,4096,11531.548454728863,4096,267,51,1,0.13223417538722065,234.8200225830078,49.108028897546475,success,15.323838233947754,8.090599294519052e-06,,9,234.8200225830078,10.54056453704834
24,50,Linear,0.04725089962453122,4096,4096,1.0,5.043953093511084,4.917894811259221,1.1517693910450986,True,9.440783500671387,dense,5.66618083428593,3.4923515117735406,0.9750080383550684,model.layers.3.self_attn.v_proj,4096,3107.0733916615495,4096,90,7,1,0.42627008421263035,9.440783500671387,329.1118148658518,success,3.0725858211517334,0.00024148989177774638,,4,9.440783500671387,3.537445545196533
25,51,Linear,0.01336098494627369,4096,4096,1.0,4.245009185260608,6.818005139882021,1.1496836830505799,True,40.37593460083008,dense,6.82401409549453,3.4733991389710552,1.6061225882750245,model.layers.3.self_attn.o_proj,4096,2974.3984010995923,4096,217,13,1,0.22028557724266093,40.37593460083008,73.66760498563029,success,6.354206085205078,1.124615937442286e-05,,5,40.37593460083008,2.4183197021484375
26,54,Linear,0.016828868902346028,4096,11008,2.6875,3.926663402524648,7.804143363488277,1.1811239237134257,True,97.15708923339844,dense,7.988007642075451,4.212077045800141,1.987474495132586,model.layers.3.mlp.gate_proj,4096,16295.851027458906,4096,585,0,1,0.12100263945469816,97.15708923339844,167.72683451139346,success,9.856829643249512,0.22106531262397766,,0,97.15708923339844,6.925851345062256
27,55,Linear,0.029338084902061135,4096,11008,2.6875,8.755445428720124,11.17169824948934,1.1898633842915267,True,18.878671646118164,dense,11.617114444584466,4.1449233161847365,1.2759714329145702,model.layers.3.mlp.up_proj,4096,13961.218246504664,4096,77,0,1,0.8838150317582093,18.878671646118164,739.5233366101461,success,4.344959259033203,0.19714972376823425,under-trained,0,18.878671646118164,9.67584228515625
28,56,Linear,0.034640923742850216,4096,11008,2.6875,4.106438897322956,6.598663157702592,1.1837651198406773,True,40.448875427246094,dense,7.179607522524629,4.146621321738429,1.6069064517200902,model.layers.3.mlp.down_proj,4096,14015.91069804132,4096,438,0,1,0.14843139201075023,40.448875427246094,346.5092799242645,success,6.35994291305542,0.35891667008399963,,0,40.448875427246094,6.822168827056885
29,62,Linear,0.03065983529130123,4096,4096,1.0,2.7755035160078525,6.325924666600433,1.101186861550626,True,190.19493103027344,dense,6.681451580426929,4.063986286306525,2.2791989381801727,model.layers.4.self_attn.q_proj,4096,11587.40766082638,4096,274,36,1,0.10726209008057533,190.19493103027344,60.92385111452842,success,13.791117668151855,5.87135182286147e-05,,6,190.19493103027344,9.985810279846191
30,63,Linear,0.033244938046842476,4096,4096,1.0,4.030506851860848,9.652271191687795,1.1058559543692668,True,248.2008819580078,dense,9.674698098469795,4.082158848336878,2.394803320389204,model.layers.4.self_attn.k_proj,4096,12082.556880858681,4096,28,47,1,0.5727119626072187,248.2008819580078,48.68055578828638,success,15.754392623901367,6.102010593167506e-05,,7,248.2008819580078,34.230506896972656
31,64,Linear,0.05011653656551812,4096,4096,1.0,4.859704149543337,4.77943498210027,1.1516253418666942,True,9.626816749572754,dense,5.770732628441823,3.539174415626755,0.9834827049192677,model.layers.4.self_attn.v_proj,4096,3460.7833734198457,4096,106,6,1,0.37488760733331106,9.626816749572754,359.49405327295113,success,3.1027112007141113,0.00018758740043267608,,3,9.626816749572754,3.8147330284118652
